full_address,shape_X,shape_Y
"537 Hillside Road, Caversham, Dunedin",170.4876623,-45.89781437
"61 Sutherland Street, Dunedin Central, Dunedin",170.4930772,-45.87982063
"261 Tomahawk Road, Ocean Grove, Dunedin",170.5450851,-45.901686
"5 Kempthorne Place, Wakari, Dunedin",170.4760019,-45.86314408
"17 Lancaster Lane, Waldronville, Dunedin",170.4074011,-45.92251653
"1 Epsilon Street, Belleknowes, Dunedin",170.4797419,-45.87352193
"43 Princes Street, Dunedin Central, Dunedin",170.5032808,-45.8750804
"60 Martin Road, Fairfield, Dunedin",170.3935849,-45.897309
"6 Freyberg Road, Fairfield, Dunedin",170.3864574,-45.898685
"20 Kennedy Road, Fairfield, Dunedin",170.3983697,-45.89672395
"29 Stone Street, Kenmure, Dunedin",170.4732733,-45.87929753
"3 Grater Street, Maori Hill, Dunedin",170.4991991,-45.85623717
"42 Prestwick Street, Maori Hill, Dunedin",170.4963095,-45.85683038
"21 McDonald Street, Mosgiel",170.3475685,-45.88360562
"834 Great King Street, North Dunedin, Dunedin",170.5143723,-45.85751357
"57 Braeview Crescent, Maori Hill, Dunedin",170.5037908,-45.85332665
"41 Stirling Crescent, Mosgiel",170.3531969,-45.86901438
"9 Oban Street, Mosgiel",170.3509218,-45.87089442
"3 Green Street, Mosgiel",170.3522179,-45.87599153
"50 Argyle Street, Mosgiel",170.3478263,-45.8819986
"5 Kilburn Avenue, Mosgiel",170.3653379,-45.87475617
"311 Brockville Road, Brockville, Dunedin",170.4534837,-45.86740397
"92 Caldwell Street, Brockville, Dunedin",170.4538508,-45.86514465
"42 Roy Crescent, Concord, Dunedin",170.4587572,-45.90624235
"20 Argyle Street, Mornington, Dunedin",170.4770703,-45.88428593
"69 Preston Crescent, Belleknowes, Dunedin",170.4802678,-45.87658895
"101 Oakwood Avenue, Balaclava, Dunedin",170.477824,-45.89168875
"7 Kirkcaldy Street, South Dunedin, Dunedin",170.4940661,-45.89979442
"22 Coney Hill Road, Kew, Dunedin",170.4854748,-45.90613168
"390 Bay View Road, Saint Clair, Dunedin",170.4889125,-45.90554267
"41 Albert Street, Saint Clair, Dunedin",170.4888981,-45.91029268
"41 Calder Street, Saint Kilda, Dunedin",170.5007177,-45.90251658
"22 Carlyle Street, North East Valley, Dunedin",170.5187465,-45.85375285
"2 Kenilworth Street, Vauxhall, Dunedin",170.530378,-45.88377362
"3 Watt Street, Mosgiel",170.3381269,-45.87479407
"5 Alton Avenue, Musselburgh, Dunedin",170.5145882,-45.89883512
"192 Upper Junction Road, Sawyers Bay, Dunedin",170.587668,-45.8250959
"15 Albert Street, Saint Clair, Dunedin",170.4867377,-45.9111956
"18D Lawson Street, Roslyn, Dunedin",170.4863059,-45.87281262
"206A Main South Road, Green Island, Dunedin",170.4304063,-45.90189205
"59B Melbourne Street, South Dunedin, Dunedin",170.5033573,-45.89735017
"1A Warwick Street, Balaclava, Dunedin",170.4718221,-45.89231828
"5 Three Mile Hill Road, Halfway Bush, Dunedin",170.4584758,-45.85274293
"119 Ashmore Street, Halfway Bush, Dunedin",170.4625708,-45.85824468
"37 Frame Street, North East Valley, Dunedin",170.5264439,-45.85256762
"242 Highgate, Roslyn, Dunedin",170.4878076,-45.86862973
"142D Macandrew Road, South Dunedin, Dunedin",170.496345,-45.89796303
"25B Ross Street, Roslyn, Dunedin",170.485101,-45.87168737
"24 Clark Street, Dunedin Central, Dunedin",170.4976387,-45.87691723
"16 Douglas Street, Saint Kilda, Dunedin",170.5053924,-45.90436997
"106 Harbour Terrace, North Dunedin, Dunedin",170.520649,-45.8641704
"20B Queen Street, Mosgiel",170.3507819,-45.88558668
"22B Shand Street, Green Island, Dunedin",170.4299072,-45.90286747
"9 Donald Street, Kenmure, Dunedin",170.460768,-45.88928627
"6A Coughtrey Street, Saint Clair, Dunedin",170.4896864,-45.90931557
"20 McIntosh Road, Brighton, Dunedin",170.330056,-45.94629298
"20 Rutherford Street, Caversham, Dunedin",170.4812039,-45.89722945
"863 Brighton Road, Ocean View, Dunedin",170.3416689,-45.94103338
"872 Brighton Road, Ocean View, Dunedin",170.3407176,-45.94094203
"132 Glenpark Avenue, Maryhill, Dunedin",170.4789863,-45.8887076
"38 Murray Street, Mosgiel",170.3534779,-45.868261
"68 Argyle Street, Mosgiel",170.3468363,-45.8802084
"128 Main Road, Fairfield, Dunedin",170.3889388,-45.89933528
"7 Sickels Street, Fairfield, Dunedin",170.3921527,-45.90069263
"111 Martin Road, Fairfield, Dunedin",170.3972766,-45.89536637
"20 Bremner Street, Fairfield, Dunedin",170.4025261,-45.90050167
"5 Estuary Crescent, Fairfield, Dunedin",170.3956436,-45.90476008
"35 Bryant Street, Bradford, Dunedin",170.4671479,-45.88400638
"44 Bryant Street, Kenmure, Dunedin",170.4678869,-45.88308108
"57 Hocken Street, Kenmure, Dunedin",170.4698732,-45.88297425
"108 North Road, North East Valley, Dunedin",170.5234988,-45.85217733
"44 Magdala Street, Tainui, Dunedin",170.5208104,-45.90229245
"17 Ajax Road, Port Chalmers, Dunedin",170.6199431,-45.8159614
"17 Constitution Street, Port Chalmers, Dunedin",170.6240117,-45.81731278
"99 Gordon Road, Mosgiel",170.3498587,-45.87701982
"190 Malvern Street, Woodhaugh, Dunedin",170.5065431,-45.846234
"22/8 Willowbank, North Dunedin, Dunedin",170.5145801,-45.8559049
"47A Thorn Street, Caversham, Dunedin",170.4820654,-45.89826807
"952 Brighton Road, Brighton, Dunedin",170.335948,-45.94465092
"5 Ross Street, Mosgiel",170.3510979,-45.8717342
"40 Greenacres Street, Macandrew Bay, Dunedin",170.6011765,-45.87120092
"14 Hogan Place, Fairfield, Dunedin",170.4002926,-45.90491658
"57 Mulford Street, Concord, Dunedin",170.4593806,-45.90369513
"106 Mulford Street, Concord, Dunedin",170.4640534,-45.90585298
